provider_id,name,instance_type,node_group,cpu_capacity_current,memory_capacity_current,ninety_five_in_millicores,ninety_nine_in_millicores,ninety_five_in_mebibytes,ninety_nine_in_mebibytes,pod_capacity_current,current_pod_count
i-09bd87854f37b962d,ip-10-0-4-243.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,1299.3753714987188,1311.0666666669695,6449.775892479292,6553.980076174507,58,20
i-057d04a6864ddfcff,ip-10-0-4-51.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,167.3611111128357,173.21111111185928,9328.595063736113,9339.163837855842,58,17
i-0502f1d0d02bbc536,ip-10-0-5-144.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,147.99074074167186,169.18148148149504,9739.625807620223,9750.453161634903,58,16
i-00fa3a851da33515d,ip-10-0-5-241.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,2252.074074071694,2575.4333333343407,9354.28378840511,9597.519086962911,58,17
i-097cfb8c596ea50e2,ip-10-0-6-11.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,2017.7499999990687,2125.487037038483,9188.997674445362,9308.669973352917,58,18
i-05309ef4ea5a69c25,ip-10-0-6-184.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,1901.0423585046597,2045.2537037041552,12599.78775980867,12677.822109311724,58,14
i-046405a82cb0c21bb,ip-10-0-6-228.us-west-2.compute.internal,m5.xlarge,large-al2023-3,4,16384,1153.129629629526,1166.2129629641358,7284.545880420299,7379.55978451233,58,16
